Departamento o Distrito,count
Bogotá D.C.,2543
Valle del Cauca,877
Antioquia,468
Meta,363
Cartagena D.T. y C.,246
Cundinamarca,219
Risaralda,193
Barranquilla D.E.,141
Santa Marta D.T. y C.,139
Nariño,118
Atlántico,112
Huila,104
Amazonas,104
Norte de Santander,69
Tolima,66
Quindio,60
Caldas,59
Cesar,55
Santander,40
Boyacá,37
Cauca,35
Magdalena,33
Buenaventura D.E.,27
Córdoba,26
Bolívar,22
Casanare,18
Chocó,13
La Guajira,9
Caquetá,8
Archipiélago de San Andrés Providencia y Santa Catalina,6
Sucre,1
